,euclidean_cosine,euclidean_spearman,cosine_spearman
SUD,"0.95 [0.58–1.00], p=0.0006","0.88 [0.39–1.00], p=0.003","0.88 [0.48–1.00], p=0.0035"
ALC,"0.89 [0.47–1.00], p=0.0026","0.82 [0.35–1.00], p=0.0095","0.95 [0.72–1.00], p=0.0004"
ATS,"0.73 [-0.07–1.00], p=0.0343","0.64 [-0.17–0.98], p=0.0676","0.95 [0.72–1.00], p=0.0003"
CAN,"0.77 [0.08–1.00], p=0.0206","0.72 [0.14–1.00], p=0.0354","0.92 [0.53–1.00], p=0.0009"
COC,"0.93 [0.48–1.00], p=0.0011","0.79 [0.24–0.97], p=0.0156","0.85 [0.25–1.00], p=0.0069"
NIC,"0.78 [0.11–1.00], p=0.0173","0.65 [-0.05–0.99], p=0.0617","0.74 [0.11–0.95], p=0.0287"
OPI,"0.60 [-0.21–1.00], p=0.0983","0.27 [-0.58–0.95], p=0.495","0.73 [0.02–1.00], p=0.0293"
ADHD,"0.96 [0.70–1.00], p=0.0022","0.54 [-0.44–0.96], p=0.236","0.64 [-0.19–1.00], p=0.137"
AN,"0.88 [nan–nan], p=0.0206","0.96 [nan–nan], p=0.005","0.96 [nan–nan], p=0.0038"
ASD,"1.00 [1.00–1.00], p=0.0005","0.57 [-0.43–1.00], p=0.198","0.57 [-0.44–1.00], p=0.198"
BD,"0.44 [nan–nan], p=0.324","0.34 [nan–nan], p=0.442","0.92 [nan–nan], p=0.0075"
CHR,"0.20 [nan–nan], p=0.689","0.15 [nan–nan], p=0.782","0.90 [nan–nan], p=0.0151"
MDD,"0.96 [0.70–1.00], p=0.0035","0.89 [0.40–1.00], p=0.0133","0.96 [0.70–1.00], p=0.0034"
OCD,"1.00 [1.00–1.00], p=0.0006","0.96 [0.70–1.00], p=0.0028","0.96 [0.70–1.00], p=0.003"
PTSD,"0.89 [0.41–1.00], p=0.011","0.89 [0.40–1.00], p=0.0141","0.75 [-0.12–1.00], p=0.0729"
SCZ,"0.77 [-0.06–1.00], p=0.0516","0.90 [nan–nan], p=0.0138","0.87 [nan–nan], p=0.0149"
