region,PSY_z,SUD_z,shared_alteration,PSY_contribution_%
CTX_1,-0.0325,-0.18000000000000002,-0.10625000000000001,15.294117647058822
CTX_2,-0.018333333333333337,-0.08,-0.04916666666666667,18.644067796610173
CTX_3,-0.06666666666666667,-0.29833333333333334,-0.1825,18.2648401826484
CTX_4,-0.02783333333333333,-0.07666666666666666,-0.05225,26.6347687400319
CTX_5,0.01966666666666667,-0.043333333333333335,-0.011833333333333333,31.216931216931222
CTX_6,-0.084,-0.21,-0.147,28.571428571428577
CTX_7,-0.07166666666666667,-0.18166666666666664,-0.12666666666666665,28.28947368421053
CTX_8,-0.015833333333333335,-0.19833333333333333,-0.10708333333333334,7.392996108949417
CTX_9,-0.06816666666666667,-0.09666666666666668,-0.08241666666666667,41.354903943377145
CTX_10,-0.042666666666666665,-0.12166666666666666,-0.08216666666666667,25.963488843813387
CTX_11,-0.07533333333333332,-0.14666666666666667,-0.11099999999999999,33.933933933933936
CTX_12,-0.044833333333333336,-0.10833333333333334,-0.07658333333333334,29.270946681175193
CTX_13,-0.04750000000000001,-0.22499999999999998,-0.13624999999999998,17.43119266055046
CTX_14,-0.037333333333333336,-0.21333333333333335,-0.12533333333333335,14.893617021276595
CTX_15,-0.08633333333333333,-0.10666666666666665,-0.09649999999999999,44.73229706390329
CTX_16,-0.08849999999999998,-0.2183333333333333,-0.15341666666666665,28.843020097772946
CTX_17,-0.03833333333333334,-0.24166666666666667,-0.14,13.690476190476192
CTX_18,0.0021666666666666674,-0.105,-0.051416666666666666,2.0217729393468127
CTX_19,-0.012333333333333333,-0.16666666666666666,-0.0895,6.890130353817504
CTX_20,-0.030999999999999996,-0.023333333333333334,-0.027166666666666665,57.055214723926376
CTX_21,-0.04750000000000001,-0.1366666666666667,-0.09208333333333335,25.791855203619907
CTX_22,-0.036,-0.22666666666666666,-0.13133333333333333,13.705583756345177
CTX_23,-0.12833333333333335,-0.22999999999999998,-0.17916666666666667,35.8139534883721
CTX_24,-0.033499999999999995,-0.18166666666666664,-0.10758333333333332,15.569326103795506
CTX_25,-0.04716666666666667,-0.18833333333333332,-0.11775,20.028308563340413
CTX_26,-0.02716666666666667,-0.24666666666666667,-0.13691666666666666,9.920876445526478
CTX_27,-0.005999999999999998,-0.30333333333333334,-0.15466666666666667,1.9396551724137925
CTX_28,-0.03833333333333334,-0.18833333333333332,-0.11333333333333333,16.911764705882355
CTX_29,-0.019,-0.25166666666666665,-0.13533333333333333,7.0197044334975365
CTX_30,-0.0635,-0.20333333333333334,-0.13341666666666668,23.797626483447843
CTX_31,-0.0305,-0.10000000000000002,-0.06525,23.37164750957854
CTX_32,-0.04750000000000002,-0.16166666666666665,-0.10458333333333333,22.709163346613558
CTX_33,-0.018666666666666668,-0.07333333333333333,-0.046,20.28985507246377
CTX_34,-0.05783333333333333,-0.24833333333333332,-0.15308333333333332,18.88949373979314
CTX_35,-0.026333333333333337,-0.155,-0.09066666666666667,14.522058823529413
CTX_36,0.020666666666666667,-0.043333333333333335,-0.011333333333333334,32.29166666666667
CTX_37,-0.04650000000000001,-0.20166666666666663,-0.12408333333333332,18.73740765614507
CTX_38,-0.03933333333333334,-0.07166666666666667,-0.05550000000000001,35.43543543543544
CTX_39,-0.022000000000000002,-0.02,-0.021,52.38095238095239
CTX_40,-0.07516666666666667,-0.26833333333333337,-0.17175,21.88258127122756
CTX_41,-0.0685,-0.24666666666666667,-0.15758333333333335,21.734531993654148
CTX_42,-0.037333333333333336,-0.26333333333333336,-0.15033333333333335,12.416851441241684
CTX_43,-0.03166666666666667,-0.12666666666666668,-0.07916666666666668,20.0
CTX_44,-0.014166666666666666,-0.14333333333333334,-0.07875,8.994708994708994
CTX_45,-0.08766666666666667,-0.17499999999999996,-0.1313333333333333,33.37563451776651
CTX_46,-0.015333333333333329,-0.10000000000000002,-0.05766666666666667,13.294797687861267
CTX_47,-0.048666666666666664,-0.12666666666666668,-0.08766666666666667,27.756653992395435
CTX_48,-0.04933333333333334,-0.23500000000000001,-0.14216666666666666,17.35052754982415
CTX_49,-0.06516666666666666,-0.10666666666666667,-0.08591666666666667,37.92434529582928
CTX_50,-0.06366666666666666,-0.20666666666666667,-0.13516666666666666,23.551171393341555
CTX_51,-0.08416666666666667,-0.18166666666666667,-0.13291666666666668,31.661442006269592
CTX_52,-0.022166666666666668,-0.07333333333333333,-0.04775,23.211169284467715
CTX_53,-0.02883333333333332,-0.11833333333333335,-0.07358333333333333,19.59229898074744
CTX_54,-0.018000000000000002,-0.043333333333333335,-0.03066666666666667,29.347826086956523
CTX_55,-0.061833333333333344,-0.09000000000000001,-0.07591666666666667,40.72447859495061
CTX_56,-0.018499999999999982,-0.20166666666666666,-0.11008333333333332,8.402725208175617
CTX_57,-0.1075,-0.215,-0.16125,33.33333333333333
CTX_58,-0.029500000000000002,-0.18333333333333335,-0.10641666666666667,13.860610806577917
CTX_59,-0.06833333333333334,-0.18000000000000002,-0.12416666666666668,27.516778523489936
CTX_60,-0.035333333333333335,-0.17333333333333334,-0.10433333333333333,16.93290734824281
CTX_61,-0.01933333333333333,-0.24166666666666667,-0.1305,7.407407407407406
CTX_62,-0.05466666666666665,-0.20666666666666667,-0.13066666666666665,20.918367346938773
CTX_63,-0.035833333333333335,-0.22666666666666668,-0.13125,13.650793650793652
CTX_64,-0.055999999999999994,-0.2283333333333333,-0.14216666666666666,19.695193434935522
CTX_65,-0.0028333333333333322,-0.09166666666666666,-0.04724999999999999,2.998236331569664
CTX_66,-0.026,-0.19499999999999998,-0.11049999999999999,11.764705882352942
CTX_67,0.0036666666666666653,-0.12333333333333335,-0.05983333333333334,2.8871391076115476
CTX_68,-0.043666666666666666,-0.16,-0.10183333333333333,21.44026186579378
L_Thalamus,0.034749999999999996,-0.11666666666666668,-0.04095833333333335,22.949917446340116
L_Caudate,-0.05600000000000001,-0.13999999999999999,-0.098,28.571428571428577
L_Putamen,-0.06075,-0.03666666666666666,-0.048708333333333326,62.36099230111207
L_Pallidum,-0.026,-0.05833333333333334,-0.04216666666666667,30.830039525691692
L_Hippocampus,-0.105,-0.20500000000000004,-0.15500000000000003,33.87096774193547
L_Amygdala,-0.07700000000000001,-0.19499999999999998,-0.136,28.308823529411768
L_Accumbens,-0.111,-0.015,-0.063,88.09523809523809
R_Thalamus,0.034749999999999996,-0.13,-0.047625,21.092564491654016
R_Caudate,-0.05600000000000001,-0.11,-0.083,33.734939759036145
R_Putamen,-0.06075,0.01,-0.025374999999999998,85.86572438162545
R_Pallidum,-0.026,-0.09666666666666668,-0.06133333333333334,21.19565217391304
R_Hippocampus,-0.105,-0.18833333333333335,-0.14666666666666667,35.79545454545454
R_Amygdala,-0.07700000000000001,-0.135,-0.10600000000000001,36.320754716981135
R_Accumbens,-0.111,-0.09000000000000001,-0.1005,55.22388059701492
