region,PSY_z,SUD_z,shared_alteration,PSY_contribution_%
CTX_1,-0.17810000000000004,-0.18000000000000002,-0.17905000000000004,49.734710974588104
CTX_2,-0.05125444444444444,-0.08,-0.06562722222222223,39.04968297369824
CTX_3,-0.17362444444444447,-0.29833333333333334,-0.2359788888888889,36.788130764993106
CTX_4,-0.0926188888888889,-0.07666666666666666,-0.08464277777777779,54.71163123453467
CTX_5,-0.06791822222222223,-0.043333333333333335,-0.05562577777777778,61.0492337685166
CTX_6,-0.21275555555555556,-0.21,-0.21137777777777778,50.32590412111018
CTX_7,-0.21009888888888892,-0.18166666666666664,-0.1958827777777778,53.62872920028702
CTX_8,-0.18994666666666665,-0.19833333333333333,-0.19413999999999998,48.92002335084647
CTX_9,-0.13523555555555555,-0.09666666666666668,-0.11595111111111112,58.31576526505423
CTX_10,-0.14703666666666668,-0.12166666666666666,-0.13435166666666667,54.72081973924154
CTX_11,-0.1360388888888889,-0.14666666666666667,-0.14135277777777777,48.12034507831077
CTX_12,-0.12174444444444446,-0.10833333333333334,-0.1150388888888889,52.91447336649443
CTX_13,-0.11538222222222222,-0.22499999999999998,-0.1701911111111111,33.89784033635391
CTX_14,-0.19193222222222223,-0.21333333333333335,-0.20263277777777777,47.359618795906115
CTX_15,-0.08410444444444445,-0.10666666666666665,-0.09538555555555556,44.08657262338813
CTX_16,-0.16006888888888884,-0.2183333333333333,-0.18920111111111107,42.30125498440812
CTX_17,-0.17922888888888888,-0.24166666666666667,-0.2104477777777778,42.582746841391106
CTX_18,-0.13767222222222225,-0.105,-0.12133611111111112,56.7317598040338
CTX_19,-0.12846777777777776,-0.16666666666666666,-0.1475672222222222,43.52856137127712
CTX_20,-0.032693333333333324,-0.023333333333333334,-0.028013333333333328,58.353165159447876
CTX_21,-0.10897111111111109,-0.1366666666666667,-0.1228188888888889,44.362521146765324
CTX_22,-0.16220888888888887,-0.22666666666666666,-0.19443777777777776,41.71228727842097
CTX_23,-0.1339077777777778,-0.22999999999999998,-0.1819538888888889,36.79717388715701
CTX_24,-0.18710222222222223,-0.18166666666666664,-0.18438444444444443,50.73698673062322
CTX_25,-0.08950666666666665,-0.18833333333333332,-0.13892,32.21518379882906
CTX_26,-0.14028888888888888,-0.24666666666666667,-0.19347777777777778,36.2545224832022
CTX_27,-0.18315666666666672,-0.30333333333333334,-0.24324500000000004,37.64859846382591
CTX_28,-0.15475444444444447,-0.18833333333333332,-0.17154388888888888,45.10637057571921
CTX_29,-0.15248777777777778,-0.25166666666666665,-0.2020772222222222,37.73007568613759
CTX_30,-0.1982788888888889,-0.20333333333333334,-0.20080611111111113,49.37073074911952
CTX_31,-0.07392777777777777,-0.10000000000000002,-0.0869638888888889,42.50487111508608
CTX_32,-0.049320888888888886,-0.16166666666666665,-0.10549377777777777,23.376207548839112
