region,PSY_z,SUD_z,shared_alteration,PSY_contribution_%
CTX_1,-0.39895,-0.18000000000000002,-0.28947500000000004,68.90923223076258
CTX_2,-0.031145,-0.08,-0.0555725,28.02195330424221
CTX_3,-0.42480999999999997,-0.29833333333333334,-0.3615716666666666,58.74492378182288
CTX_4,-0.352285,-0.07666666666666666,-0.21447583333333334,82.12696846187022
CTX_5,-0.001132000000000001,-0.043333333333333335,-0.022232666666666668,2.545803472367989
CTX_6,-0.32339999999999997,-0.21,-0.2667,60.62992125984251
CTX_7,-0.5174449999999999,-0.18166666666666664,-0.3495558333333333,74.01464239141578
CTX_8,-0.31176,-0.19833333333333333,-0.25504666666666664,61.118226729748805
CTX_9,-0.34406000000000003,-0.09666666666666668,-0.22036333333333336,78.06652649412335
CTX_10,-0.410665,-0.12166666666666666,-0.2661658333333333,77.14457465427256
CTX_11,-0.24017500000000003,-0.14666666666666667,-0.19342083333333335,62.086124814200474
CTX_12,-0.28485000000000005,-0.10833333333333334,-0.1965916666666667,72.44711966427876
CTX_13,-0.20072,-0.22499999999999998,-0.21286,47.148360424692285
CTX_14,-0.361695,-0.21333333333333335,-0.2875141666666667,62.900378821913115
CTX_15,-0.12047,-0.10666666666666665,-0.11356833333333333,53.038552413378135
CTX_16,-0.41431,-0.2183333333333333,-0.31632166666666667,65.48871665446039
CTX_17,-0.37653,-0.24166666666666667,-0.3090983333333333,60.907801724370344
CTX_18,-0.28702500000000003,-0.105,-0.1960125,73.21599387794147
CTX_19,-0.276105,-0.16666666666666666,-0.22138583333333334,62.35832615004724
CTX_20,-0.23412,-0.023333333333333334,-0.12872666666666666,90.93686881764981
CTX_21,-0.29837,-0.1366666666666667,-0.21751833333333337,68.58502348461049
CTX_22,-0.38094,-0.22666666666666666,-0.3038033333333333,62.69516463501608
CTX_23,-0.294085,-0.22999999999999998,-0.26204249999999996,56.11398914298253
CTX_24,-0.48796,-0.18166666666666664,-0.3348133333333333,72.87045517900522
CTX_25,-0.07827999999999999,-0.18833333333333332,-0.13330666666666666,29.36087217443488
CTX_26,-0.31329999999999997,-0.24666666666666667,-0.2799833333333333,55.94975891422108
CTX_27,-0.46370500000000003,-0.30333333333333334,-0.3835191666666667,60.45395384411471
CTX_28,-0.479395,-0.18833333333333332,-0.3338641666666667,71.79491659532195
CTX_29,-0.249195,-0.25166666666666665,-0.2504308333333333,49.75325855109695
CTX_30,-0.432255,-0.20333333333333334,-0.31779416666666666,68.00864291089883
CTX_31,-0.178175,-0.10000000000000002,-0.1390875,64.05140648872113
CTX_32,0.07205600000000001,-0.16166666666666665,-0.04480533333333332,30.82970129840495
CTX_33,-0.09582,-0.07333333333333333,-0.08457666666666666,56.6468293067434
CTX_34,-0.15026,-0.24833333333333332,-0.19929666666666668,37.697569787084575
CTX_35,-0.32218,-0.155,-0.23859000000000002,67.51749863783058
CTX_36,-0.09095,-0.043333333333333335,-0.06714166666666667,67.72992428943776
CTX_37,-0.371295,-0.20166666666666663,-0.2864808333333333,64.80276458285459
CTX_38,-0.2363,-0.07166666666666667,-0.15398333333333333,76.72908323411625
CTX_39,0.027615,-0.02,0.0038075,57.996429696524196
CTX_40,-0.29514999999999997,-0.26833333333333337,-0.28174166666666667,52.37954390842674
CTX_41,-0.5121249999999999,-0.24666666666666667,-0.3793958333333333,67.49217505903025
CTX_42,-0.25060499999999997,-0.26333333333333336,-0.2569691666666667,48.76168671338648
CTX_43,-0.28398500000000004,-0.12666666666666668,-0.20532583333333337,69.1547175018568
CTX_44,-0.36143,-0.14333333333333334,-0.25238166666666667,71.60385395135674
CTX_45,-0.246895,-0.17499999999999996,-0.21094749999999998,58.520484954787335
CTX_46,-0.34787500000000005,-0.10000000000000002,-0.22393750000000004,77.67234161317332
CTX_47,-0.22452,-0.12666666666666668,-0.17559333333333332,63.93181214169103
CTX_48,-0.34265,-0.23500000000000001,-0.288825,59.317926079806114
CTX_49,-0.146765,-0.10666666666666667,-0.12671583333333333,57.91107399101665
CTX_50,-0.39023,-0.20666666666666667,-0.2984483333333333,65.37647499008763
CTX_51,-0.33635000000000004,-0.18166666666666667,-0.25900833333333334,64.93034329654773
CTX_52,-0.28542500000000004,-0.07333333333333333,-0.1793791666666667,79.55912754639846
CTX_53,-0.34162000000000003,-0.11833333333333335,-0.2299766666666667,74.27275230820518
CTX_54,-0.09719,-0.043333333333333335,-0.07026166666666667,69.16289109756387
CTX_55,-0.22759000000000001,-0.09000000000000001,-0.15879500000000002,71.66157624610346
CTX_56,-0.29757,-0.20166666666666666,-0.24961833333333333,59.6049969620287
CTX_57,-0.30846,-0.215,-0.26173,58.92713865433844
CTX_58,-0.48149,-0.18333333333333335,-0.33241166666666666,72.42375167337688
CTX_59,0.00111,-0.18000000000000002,-0.08944500000000001,0.612887195626967
CTX_60,-0.298755,-0.17333333333333334,-0.23604416666666667,63.283707498243615
CTX_61,-0.379825,-0.24166666666666667,-0.31074583333333333,61.11505919897022
CTX_62,-0.4858,-0.20666666666666667,-0.34623333333333334,70.15500144411283
CTX_63,-0.25385,-0.22666666666666668,-0.24025833333333335,52.82855259963234
CTX_64,-0.37671,-0.2283333333333333,-0.30252166666666663,62.26165618991478
CTX_65,-0.15547,-0.09166666666666666,-0.12356833333333334,62.908512159264106
CTX_66,-0.02007,-0.19499999999999998,-0.10753499999999999,9.331845445668852
CTX_67,-0.14075500000000002,-0.12333333333333335,-0.13204416666666668,53.29845443128246
CTX_68,-0.202025,-0.16,-0.18101250000000002,55.80415717146605
L_Thalamus,-0.356635,-0.11666666666666668,-0.23665083333333334,75.35046358735266
L_Caudate,-0.07331,-0.13999999999999999,-0.106655,34.367821480474426
L_Putamen,-0.21001999999999998,-0.03666666666666666,-0.12334333333333332,85.1363402967327
L_Pallidum,-0.04052,-0.05833333333333334,-0.049426666666666674,40.990018883193954
L_Hippocampus,-0.27499,-0.20500000000000004,-0.239995,57.29077689118524
L_Amygdala,-0.28157,-0.19499999999999998,-0.23828499999999997,59.08261115890636
L_Accumbens,-0.18114999999999998,-0.015,-0.098075,92.3527912312006
R_Thalamus,-0.36789499999999997,-0.13,-0.2489475,73.89007722511775
R_Caudate,-0.072805,-0.11,-0.0914025,39.82659117639014
R_Putamen,-0.19478499999999999,0.01,-0.09239249999999999,95.11682984593598
R_Pallidum,-0.096515,-0.09666666666666668,-0.09659083333333335,49.960745067251025
R_Hippocampus,-0.29303,-0.18833333333333335,-0.24068166666666668,60.875014715149334
R_Amygdala,-0.270955,-0.135,-0.2029775,66.74508258304492
R_Accumbens,-0.15769,-0.09000000000000001,-0.12384500000000001,63.66425774153175
