region,PSY_z,SUD_z,shared_alteration,PSY_contribution_%
CTX_1,-0.2163333333333333,-0.18000000000000002,-0.19816666666666666,54.583683767872145
CTX_2,-0.09799999999999999,-0.08,-0.089,55.0561797752809
CTX_3,-0.24966666666666668,-0.29833333333333334,-0.274,45.55961070559611
CTX_4,-0.083,-0.07666666666666666,-0.07983333333333334,51.98329853862212
CTX_5,-0.08633333333333333,-0.043333333333333335,-0.06483333333333333,66.58097686375322
CTX_6,-0.3163333333333333,-0.21,-0.26316666666666666,60.101329955668135
CTX_7,-0.26233333333333336,-0.18166666666666664,-0.222,59.08408408408409
CTX_8,-0.2763333333333334,-0.19833333333333333,-0.23733333333333334,58.21629213483147
CTX_9,-0.157,-0.09666666666666668,-0.12683333333333335,61.89224704336399
CTX_10,-0.20233333333333334,-0.12166666666666666,-0.162,62.44855967078189
CTX_11,-0.2313333333333333,-0.14666666666666667,-0.189,61.19929453262786
CTX_12,-0.19899999999999998,-0.10833333333333334,-0.15366666666666667,64.75054229934923
CTX_13,-0.18666666666666668,-0.22499999999999998,-0.2058333333333333,45.34412955465588
CTX_14,-0.2653333333333333,-0.21333333333333335,-0.23933333333333334,55.43175487465181
CTX_15,-0.14300000000000002,-0.10666666666666665,-0.12483333333333332,57.27636849132177
CTX_16,-0.18000000000000002,-0.2183333333333333,-0.19916666666666666,45.18828451882846
CTX_17,-0.23933333333333331,-0.24166666666666667,-0.2405,49.757449757449756
CTX_18,-0.20833333333333334,-0.105,-0.15666666666666668,66.48936170212765
CTX_19,-0.20033333333333334,-0.16666666666666666,-0.1835,54.58673932788375
CTX_20,-0.01233333333333333,-0.023333333333333334,-0.017833333333333333,34.57943925233644
CTX_21,-0.15233333333333332,-0.1366666666666667,-0.14450000000000002,52.710495963091105
CTX_22,-0.17333333333333334,-0.22666666666666666,-0.2,43.333333333333336
CTX_23,-0.228,-0.22999999999999998,-0.22899999999999998,49.78165938864629
CTX_24,-0.20666666666666667,-0.18166666666666664,-0.19416666666666665,53.21888412017167
CTX_25,-0.14833333333333332,-0.18833333333333332,-0.16833333333333333,44.059405940594054
CTX_26,-0.256,-0.24666666666666667,-0.25133333333333335,50.92838196286472
CTX_27,-0.256,-0.30333333333333334,-0.2796666666666667,45.76877234803337
CTX_28,-0.15666666666666665,-0.18833333333333332,-0.1725,45.41062801932367
CTX_29,-0.25633333333333336,-0.25166666666666665,-0.254,50.45931758530185
CTX_30,-0.25266666666666665,-0.20333333333333334,-0.22799999999999998,55.409356725146196
CTX_31,-0.12733333333333333,-0.10000000000000002,-0.11366666666666667,56.01173020527859
CTX_32,-0.14066666666666666,-0.16166666666666665,-0.15116666666666667,46.52701212789415
CTX_33,-0.14766666666666667,-0.07333333333333333,-0.1105,66.81749622926093
CTX_34,-0.25866666666666666,-0.24833333333333332,-0.2535,51.01906640368179
CTX_35,-0.20333333333333334,-0.155,-0.17916666666666667,56.74418604651162
CTX_36,-0.09500000000000001,-0.043333333333333335,-0.06916666666666668,68.67469879518072
CTX_37,-0.215,-0.20166666666666663,-0.20833333333333331,51.6
CTX_38,-0.10166666666666667,-0.07166666666666667,-0.08666666666666667,58.65384615384615
CTX_39,-0.09799999999999999,-0.02,-0.059,83.05084745762711
CTX_40,-0.30433333333333334,-0.26833333333333337,-0.28633333333333333,53.14318975552968
CTX_41,-0.23866666666666667,-0.24666666666666667,-0.24266666666666667,49.175824175824175
CTX_42,-0.25933333333333336,-0.26333333333333336,-0.26133333333333336,49.61734693877551
CTX_43,-0.18366666666666664,-0.12666666666666668,-0.15516666666666667,59.18367346938774
CTX_44,-0.24033333333333337,-0.14333333333333334,-0.19183333333333336,62.64118158123371
CTX_45,-0.2183333333333333,-0.17499999999999996,-0.19666666666666663,55.50847457627118
CTX_46,-0.19766666666666666,-0.10000000000000002,-0.14883333333333335,66.4053751399776
CTX_47,-0.19466666666666665,-0.12666666666666668,-0.16066666666666668,60.58091286307054
CTX_48,-0.25933333333333336,-0.23500000000000001,-0.2471666666666667,52.461227242076866
CTX_49,-0.147,-0.10666666666666667,-0.12683333333333333,57.95006570302233
CTX_50,-0.15533333333333332,-0.20666666666666667,-0.181,42.909760589318594
CTX_51,-0.24733333333333332,-0.18166666666666667,-0.2145,57.65345765345765
CTX_52,-0.19333333333333336,-0.07333333333333333,-0.13333333333333336,72.5
CTX_53,-0.218,-0.11833333333333335,-0.1681666666666667,64.81665014866203
CTX_54,-0.006999999999999997,-0.043333333333333335,-0.025166666666666667,13.907284768211914
CTX_55,-0.15866666666666668,-0.09000000000000001,-0.12433333333333335,63.806970509383376
CTX_56,-0.20199999999999999,-0.20166666666666666,-0.2018333333333333,50.041288191577216
